date,1. open,2. high,3. low,4. close,5. volume
2021-03-19 20:00:00,230.78,230.78,230.5,230.55,6547.0
2021-03-19 19:30:00,230.56,230.81,230.51,230.64,6703.0
2021-03-19 19:00:00,230.64,230.64,230.64,230.64,110.0
2021-03-19 18:30:00,230.8,230.8,230.5,230.51,4934.0
2021-03-19 18:00:00,230.8,230.92,230.35,230.77,19652.0
2021-03-19 17:30:00,230.75,230.93,230.69,230.85,6244.0
2021-03-19 17:00:00,230.65,230.93,230.5,230.66,94456.0
2021-03-19 16:30:00,230.35,231.08,230.04,230.6,5002195.0
2021-03-19 16:00:00,231.17,231.46,229.89,229.91,3640414.0
2021-03-19 15:30:00,231.55,231.69,230.78,231.16,1467533.0
2021-03-19 15:00:00,231.345,231.56,230.86,231.55,1155048.0
2021-03-19 14:30:00,231.59,231.74,230.91,231.34,1534574.0
2021-03-19 14:00:00,231.61,231.99,231.36,231.58,1190692.0
2021-03-19 13:30:00,231.89,231.935,231.1,231.6,1203110.0
2021-03-19 13:00:00,231.32,231.9272,231.23,231.89,1130054.0
2021-03-19 12:30:00,231.43,231.7824,231.13,231.33,1469648.0
2021-03-19 12:00:00,230.72,231.59,230.57,231.44,1159501.0
2021-03-19 11:30:00,231.16,231.5299,230.17,230.735,1528854.0
2021-03-19 11:00:00,230.56,231.59,230.1683,231.155,2046973.0
2021-03-19 10:30:00,230.65,230.74,229.3496,230.58,2582380.0
2021-03-19 10:00:00,231.02,232.474,230.5301,230.6717,7555397.0
2021-03-19 09:30:00,231.56,232.41,230.28,231.0,171949.0
2021-03-19 09:00:00,232.1,232.3,231.6,231.85,18518.0
2021-03-19 08:30:00,231.5,232.3,231.25,232.05,49922.0
2021-03-19 08:00:00,231.4,232.0,231.07,231.76,25437.0
2021-03-19 07:30:00,231.82,231.9,231.15,231.35,27478.0
2021-03-19 07:00:00,232.1,232.1,231.86,232.0,4116.0
2021-03-19 06:30:00,232.43,232.43,232.0,232.0,3329.0
2021-03-19 06:00:00,232.5,232.5,232.33,232.33,954.0
2021-03-19 05:30:00,232.33,232.72,232.16,232.72,1661.0
2021-03-19 05:00:00,232.7,232.7,232.48,232.48,401.0
2021-03-19 04:30:00,232.75,232.75,232.75,232.75,299.0
2021-03-18 20:00:00,230.81,231.1,230.81,230.9,3146.0
2021-03-18 19:30:00,230.95,231.1,230.76,230.94,7623.0
2021-03-18 19:00:00,231.18,231.18,230.95,230.95,4020.0
2021-03-18 18:30:00,231.07,231.2,231.01,231.06,5056.0
2021-03-18 18:00:00,230.7125,231.08,230.7125,231.0707,2895.0
2021-03-18 17:30:00,231.02,231.18,230.5254,231.09,8423.0
2021-03-18 17:00:00,231.1,231.12,230.72,230.72,166893.0
2021-03-18 16:30:00,230.72,231.6772,230.72,230.72,833626.0
2021-03-18 16:00:00,231.09,231.25,230.33,230.72,4966531.0
2021-03-18 15:30:00,231.09,231.45,230.55,231.1,2774805.0
2021-03-18 15:00:00,231.67,231.94,230.735,231.09,2666675.0
2021-03-18 14:30:00,233.55,233.58,231.61,231.68,1599977.0
2021-03-18 14:00:00,232.99,233.59,232.7744,233.5301,1141490.0
2021-03-18 13:30:00,231.91,233.06,231.8,232.97,1377749.0
2021-03-18 13:00:00,233.04,233.14,231.8,231.89,1641596.0
2021-03-18 12:30:00,232.38,233.4,232.09,233.05,1458637.0
2021-03-18 12:00:00,232.61,232.6786,232.03,232.38,1761975.0
2021-03-18 11:30:00,233.0,233.3,232.3,232.61,1514798.0
2021-03-18 11:00:00,232.9,233.36,232.38,232.99,2255754.0
2021-03-18 10:30:00,233.21,233.29,232.21,232.9099,2451702.0
2021-03-18 10:00:00,232.56,234.19,232.17,233.26,3398098.0
2021-03-18 09:30:00,233.6,233.72,232.03,232.72,99318.0
2021-03-18 09:00:00,233.85,233.9,233.25,233.6,35494.0
2021-03-18 08:30:00,234.839,236.448,233.26,233.85,37422.0
2021-03-18 08:00:00,234.5,234.5,233.11,233.56,60969.0
2021-03-18 07:30:00,235.29,235.46,234.2,234.6,47212.0
2021-03-18 07:00:00,235.17,235.97,235.06,235.07,7226.0
2021-03-18 06:30:00,234.85,235.0,234.85,235.0,970.0
2021-03-18 06:00:00,234.9,235.37,234.85,234.85,3829.0
2021-03-18 05:30:00,234.4,234.96,234.2,234.96,7852.0
2021-03-18 05:00:00,234.92,234.92,234.13,234.4,4025.0
2021-03-18 04:30:00,235.38,235.38,234.99,235.09,5660.0
2021-03-17 20:00:00,237.23,237.32,237.23,237.26,2639.0
2021-03-17 19:30:00,237.04,237.4,237.0,237.4,1994.0
2021-03-17 19:00:00,237.12,237.15,237.0,237.02,1131.0
2021-03-17 18:30:00,236.96,237.67,236.96,237.67,2795.0
2021-03-17 18:00:00,236.65,237.04,236.65,237.04,6671.0
2021-03-17 17:30:00,236.7,236.7,236.67,236.67,1266.0
2021-03-17 17:00:00,237.2,237.2,236.57,236.57,17939.0
2021-03-17 16:30:00,237.03,237.37,237.03,237.25,701233.0
2021-03-17 16:00:00,237.41,237.93,236.44,237.19,3026584.0
2021-03-17 15:30:00,237.93,238.55,237.2,237.39,1961519.0
2021-03-17 15:00:00,235.79,238.14,235.34,237.94,2382374.0
2021-03-17 14:30:00,234.48,236.67,234.48,235.77,2613473.0
2021-03-17 14:00:00,234.6,234.77,234.25,234.4573,1057510.0
2021-03-17 13:30:00,233.77,234.7279,233.62,234.59,1256027.0
2021-03-17 13:00:00,234.55,234.55,233.73,233.79,1100358.0
2021-03-17 12:30:00,233.81,234.6,233.23,234.56,2490336.0
2021-03-17 12:00:00,234.73,234.73,233.74,233.825,1342050.0
2021-03-17 11:30:00,234.98,235.03,234.39,234.75,1295965.0
2021-03-17 11:00:00,235.85,236.34,234.82,234.99,1658320.0
2021-03-17 10:30:00,236.165,236.59,235.64,235.87,1333990.0
2021-03-17 10:00:00,236.15,236.49,234.17,236.15,2864485.0
2021-03-17 09:30:00,236.3,237.603,235.91,236.34,10287.0
2021-03-17 09:00:00,236.06,236.3,235.59,236.3,134532.0
2021-03-17 08:30:00,236.85,237.5,235.61,236.07,26752.0
2021-03-17 08:00:00,236.49,236.49,235.67,236.16,24949.0
2021-03-17 07:30:00,237.38,237.4,236.43,236.5,29223.0
2021-03-17 07:00:00,237.0,237.1,237.0,237.1,492.0
2021-03-17 06:00:00,237.3,237.3,237.24,237.3,3563.0
2021-03-17 05:30:00,237.46,237.46,237.46,237.46,241.0
2021-03-17 04:30:00,237.69,237.71,237.4,237.4,1217.0
2021-03-16 20:00:00,238.39,238.39,236.72,237.5,11005.0
2021-03-16 19:30:00,238.1,238.35,238.1,238.34,1852.0
2021-03-16 19:00:00,238.03,238.4,238.0,238.06,1989.0
2021-03-16 18:30:00,237.84,238.19,237.84,238.0,4038.0
2021-03-16 18:00:00,237.75,237.9,237.71,237.72,13660.0
2021-03-16 17:30:00,237.8,237.9,237.8,237.9,205573.0
2021-03-16 17:00:00,237.75,238.45,237.75,238.45,76024.0
2021-03-16 16:30:00,237.71,238.46,237.53,237.72,1271751.0
2021-03-16 16:00:00,238.42,239.25,237.66,237.69,2877710.0
2021-03-16 15:30:00,237.322,238.52,237.03,238.41,1337471.0
2021-03-16 15:00:00,237.17,237.77,236.92,237.33,1549562.0
2021-03-16 14:30:00,238.01,238.19,237.13,237.16,1250968.0
2021-03-16 14:00:00,239.08,239.13,237.73,238.019,1137445.0
2021-03-16 13:30:00,238.872,239.48,238.872,239.08,1308611.0
2021-03-16 13:00:00,238.96,239.75,238.85,238.89,1669963.0
