date,1. open,2. high,3. low,4. close,5. volume
2021-03-19 18:45:00,134.2,134.2,134.2,134.2,359.0
2021-03-19 17:45:00,134.5,134.5,134.5,134.5,3376.0
2021-03-19 17:15:00,134.5,134.5,134.5,134.5,545.0
2021-03-19 17:00:00,134.31,134.31,133.9,134.02,876.0
2021-03-19 16:45:00,134.3,134.3,134.3,134.3,624.0
2021-03-19 16:30:00,134.31,134.5,133.15,133.15,1628.0
2021-03-19 16:15:00,134.5,134.57,134.39,134.5,575126.0
2021-03-19 16:00:00,133.7,135.01,133.31,134.51,1691023.0
2021-03-19 15:45:00,134.11,134.1394,133.66,133.7,414314.0
2021-03-19 15:30:00,134.08,134.14,133.94,134.11,343758.0
2021-03-19 15:15:00,133.99,134.31,133.96,134.085,460261.0
2021-03-19 15:00:00,133.3678,134.01,133.365,133.985,295700.0
2021-03-19 14:45:00,133.1,133.39,133.05,133.38,96113.0
2021-03-19 14:30:00,132.93,133.12,132.91,133.12,133936.0
2021-03-19 14:15:00,133.14,133.21,132.92,132.935,102997.0
2021-03-19 14:00:00,133.02,133.17,132.97,133.15,68783.0
2021-03-19 13:45:00,133.09,133.17,132.96,133.01,93426.0
2021-03-19 13:30:00,132.945,133.13,132.76,133.1,180769.0
2021-03-19 13:15:00,133.15,133.2,132.8,132.94,168052.0
2021-03-19 13:00:00,132.89,133.15,132.88,133.15,96782.0
2021-03-19 12:45:00,132.995,133.14,132.83,132.88,91377.0
2021-03-19 12:30:00,133.2199,133.31,132.91,132.99,86925.0
2021-03-19 12:15:00,133.38,133.4,133.2,133.21,72240.0
2021-03-19 12:00:00,133.37,133.42,133.26,133.33,82958.0
2021-03-19 11:45:00,132.95,133.36,132.93,133.36,74082.0
2021-03-19 11:30:00,133.08,133.15,132.85,132.9569,114077.0
2021-03-19 11:15:00,133.09,133.34,133.06,133.095,130618.0
2021-03-19 11:00:00,133.17,133.415,133.02,133.1,114163.0
2021-03-19 10:45:00,133.25,133.37,132.85,133.22,214631.0
2021-03-19 10:30:00,133.1,133.3,132.8645,133.24,186563.0
2021-03-19 10:15:00,132.63,133.17,132.58,133.1029,221917.0
2021-03-19 10:00:00,133.02,133.19,132.18,132.63,253609.0
2021-03-19 09:45:00,132.31,133.24,132.31,133.06,1316159.0
2021-03-19 09:30:00,133.46,133.8,132.41,132.42,29500.0
2021-03-19 09:15:00,132.63,132.63,132.5,132.5,2486.0
2021-03-19 08:45:00,132.83,133.0,132.83,133.0,1080.0
2021-03-18 19:00:00,132.53,132.53,132.53,132.53,261.0
2021-03-18 17:15:00,132.49,132.49,132.49,132.49,126.0
2021-03-18 17:00:00,132.12,132.12,132.11,132.11,500.0
2021-03-18 16:30:00,132.53,132.53,132.53,132.53,3520.0
2021-03-18 16:15:00,132.53,132.8,132.53,132.75,170601.0
2021-03-18 16:00:00,132.55,132.74,132.4,132.51,632375.0
2021-03-18 15:45:00,132.925,133.08,132.51,132.56,277094.0
2021-03-18 15:30:00,132.74,132.93,132.6,132.93,215937.0
2021-03-18 15:15:00,132.57,132.78,132.37,132.76,227657.0
2021-03-18 15:00:00,132.26,132.681,132.23,132.58,185833.0
2021-03-18 14:45:00,132.695,132.732,132.18,132.24,154346.0
2021-03-18 14:30:00,132.69,132.72,132.56,132.68,120350.0
2021-03-18 14:15:00,132.67,132.8,132.56,132.695,119474.0
2021-03-18 14:00:00,132.6,132.77,132.52,132.67,73424.0
2021-03-18 13:45:00,132.535,132.79,132.53,132.61,91692.0
2021-03-18 13:30:00,132.17,132.63,132.15,132.55,116700.0
2021-03-18 13:15:00,132.19,132.26,132.1,132.17,75248.0
2021-03-18 13:00:00,132.38,132.53,132.14,132.16,149347.0
2021-03-18 12:45:00,132.42,132.51,132.32,132.37,86115.0
2021-03-18 12:30:00,132.55,132.68,132.4,132.41,166276.0
2021-03-18 12:15:00,132.43,132.63,132.34,132.55,198279.0
2021-03-18 12:00:00,132.03,132.42,131.98,132.42,172745.0
2021-03-18 11:45:00,131.805,132.035,131.41,132.035,217700.0
2021-03-18 11:30:00,131.695,131.85,131.66,131.8,229465.0
2021-03-18 11:15:00,131.54,131.76,131.46,131.68,154692.0
2021-03-18 11:00:00,131.76,131.8,131.48,131.54,240138.0
2021-03-18 10:45:00,131.55,131.87,131.48,131.75,216982.0
2021-03-18 10:30:00,131.92,132.01,131.55,131.55,222526.0
2021-03-18 10:15:00,132.26,132.4199,131.83,131.88,319422.0
2021-03-18 10:00:00,132.955,132.955,132.1,132.295,229267.0
2021-03-18 09:45:00,132.36,133.01,132.13,132.955,648833.0
2021-03-18 09:30:00,132.72,133.0,132.5,132.52,5505.0
2021-03-18 09:15:00,132.82,132.82,132.72,132.72,1706.0
2021-03-18 09:00:00,132.72,133.7499,132.72,132.82,651.0
2021-03-18 08:45:00,132.7,132.8,132.7,132.8,1112.0
2021-03-18 08:30:00,132.7,132.7,132.7,132.7,352.0
2021-03-18 08:15:00,132.9169,132.9169,132.65,132.7,3523.0
2021-03-18 08:00:00,132.66,132.66,132.66,132.66,351.0
2021-03-18 07:45:00,132.8,132.91,132.65,132.66,3510.0
2021-03-18 07:30:00,132.64,132.81,132.62,132.66,1943.0
2021-03-18 07:15:00,133.5,133.5,133.5,133.5,623.0
2021-03-18 04:30:00,134.09,134.09,134.09,134.09,100.0
2021-03-17 19:00:00,133.4,133.4,133.4,133.4,485.0
2021-03-17 17:00:00,133.63,133.63,133.63,133.63,358.0
2021-03-17 16:45:00,133.64,133.64,133.64,133.64,100.0
2021-03-17 16:30:00,133.62,133.62,133.62,133.62,2981.0
2021-03-17 16:15:00,133.62,133.62,133.5,133.6,172360.0
2021-03-17 16:00:00,133.86,134.0101,133.38,133.62,729224.0
2021-03-17 15:45:00,133.97,134.13,133.83,133.85,174954.0
2021-03-17 15:30:00,134.03,134.19,133.9,133.99,137415.0
2021-03-17 15:15:00,134.16,134.27,133.99,134.0,195902.0
2021-03-17 15:00:00,134.4,134.45,133.9,134.17,183083.0
2021-03-17 14:45:00,133.61,134.41,133.56,134.41,208647.0
2021-03-17 14:30:00,133.66,133.81,133.59,133.59,108539.0
2021-03-17 14:15:00,133.63,134.515,133.51,133.65,211719.0
2021-03-17 14:00:00,133.6109,133.6745,133.52,133.61,83791.0
2021-03-17 13:45:00,133.64,133.72,133.52,133.6,83460.0
2021-03-17 13:30:00,133.7864,133.8125,133.6,133.64,57602.0
2021-03-17 13:15:00,133.77,133.8,133.6,133.79,93026.0
2021-03-17 13:00:00,133.73,133.905,133.7,133.77,120993.0
2021-03-17 12:45:00,134.12,134.12,133.5818,133.74,134128.0
2021-03-17 12:30:00,133.93,134.3,133.87,134.13,150637.0
2021-03-17 12:15:00,133.83,133.94,133.59,133.94,106428.0
2021-03-17 12:00:00,133.66,133.84,133.53,133.84,157396.0
2021-03-17 11:45:00,133.77,133.925,133.63,133.66,149474.0
2021-03-17 11:30:00,133.72,133.9,133.57,133.77,87210.0
2021-03-17 11:15:00,133.92,134.05,133.59,133.7298,177027.0
2021-03-17 11:00:00,134.13,134.15,133.74,133.95,154159.0
2021-03-17 10:45:00,133.86,134.15,133.68,134.13,139417.0
2021-03-17 10:30:00,133.59,133.94,133.55,133.86,98866.0
2021-03-17 10:15:00,134.045,134.07,133.52,133.555,125115.0
2021-03-17 10:00:00,134.36,134.47,133.97,134.02,950256.0
2021-03-17 09:45:00,134.36,134.56,133.72,134.39,295584.0
2021-03-17 09:30:00,134.0703,134.25,133.99,134.19,4344.0
2021-03-17 09:15:00,134.1,134.25,134.1,134.19,1328.0
2021-03-17 09:00:00,134.11,134.11,134.11,134.11,456.0
2021-03-17 08:45:00,134.11,134.11,134.11,134.11,248.0
2021-03-17 08:30:00,134.0,134.23,134.0,134.23,626.0
2021-03-17 08:15:00,134.15,134.15,134.15,134.15,387.0
2021-03-17 07:00:00,134.25,134.25,134.25,134.25,269.0
2021-03-16 18:45:00,134.2,134.2,134.2,134.2,163.0
2021-03-16 18:15:00,134.22,134.22,134.22,134.22,347.0
2021-03-16 18:00:00,134.22,134.38,134.22,134.38,753.0
2021-03-16 17:00:00,134.06,134.06,134.06,134.06,201.0
2021-03-16 16:30:00,134.01,134.04,134.01,134.04,2346.0
2021-03-16 16:15:00,134.01,134.05,134.0,134.01,111295.0
2021-03-16 16:00:00,134.08,134.11,133.81,134.015,751328.0
2021-03-16 15:45:00,134.04,134.21,133.96,134.075,199259.0
2021-03-16 15:30:00,134.05,134.14,133.85,134.025,187015.0
2021-03-16 15:15:00,134.21,134.32,133.98,134.05,120575.0
2021-03-16 15:00:00,134.54,134.58,134.17,134.22,169978.0
2021-03-16 14:45:00,134.48,134.55,134.18,134.53,141099.0
2021-03-16 14:30:00,134.1,134.5,134.1,134.5,142610.0
2021-03-16 14:15:00,133.98,134.25,133.93,134.12,111498.0
2021-03-16 14:00:00,133.8,134.07,133.785,134.0,102757.0
2021-03-16 13:45:00,134.2226,134.23,133.77,133.77,167596.0
2021-03-16 13:30:00,133.95,134.24,133.835,134.23,127774.0
2021-03-16 13:15:00,133.72,133.984,133.57,133.97,116151.0
2021-03-16 13:00:00,133.54,133.76,133.475,133.74,145728.0
2021-03-16 12:45:00,133.75,133.81,133.43,133.54,126511.0
2021-03-16 12:30:00,133.46,133.78,133.4137,133.74,375213.0
2021-03-16 12:15:00,133.37,133.46,133.14,133.43,137239.0
2021-03-16 12:00:00,133.45,133.531,133.29,133.38,79456.0
2021-03-16 11:45:00,133.74,133.835,133.44,133.47,91807.0
2021-03-16 11:30:00,133.72,133.895,133.58,133.74,98142.0
2021-03-16 11:15:00,133.89,134.01,133.6109,133.715,98754.0
2021-03-16 11:00:00,133.6,133.9,133.55,133.88,151209.0
2021-03-16 10:45:00,133.41,133.75,133.34,133.59,132882.0
2021-03-16 10:30:00,133.48,133.62,133.24,133.4,125139.0
2021-03-16 10:15:00,133.294,133.51,133.15,133.47,148216.0
2021-03-16 10:00:00,133.24,133.73,133.17,133.31,238912.0
2021-03-16 09:45:00,133.08,133.305,132.75,133.23,335754.0
2021-03-15 16:30:00,133.03,133.03,133.03,133.03,318.0
2021-03-15 16:15:00,133.03,133.03,132.41,132.41,242310.0
2021-03-15 16:00:00,132.485,133.22,132.44,133.02,664650.0
2021-03-15 15:45:00,132.3789,132.53,132.21,132.49,232532.0
2021-03-15 15:30:00,132.45,132.5086,132.33,132.37,161098.0
2021-03-15 15:15:00,132.73,132.78,132.445,132.45,142662.0
2021-03-15 15:00:00,132.71,132.78,132.63,132.74,94290.0
2021-03-15 14:45:00,132.87,132.92,132.7,132.72,93178.0
2021-03-15 14:30:00,133.015,133.1,132.82,132.87,114333.0
2021-03-15 14:15:00,132.8,133.1,132.78,133.02,79942.0
2021-03-15 14:00:00,132.6127,132.84,132.6,132.79,127168.0
2021-03-15 13:45:00,132.46,132.68,132.39,132.64,95966.0
2021-03-15 13:30:00,132.48,132.6,132.4,132.48,85146.0
2021-03-15 13:15:00,132.51,132.58,132.37,132.47,57885.0
2021-03-15 13:00:00,132.53,132.565,132.34,132.49,74402.0
2021-03-15 12:45:00,132.66,132.67,132.49,132.5188,78211.0
2021-03-15 12:30:00,132.42,132.76,132.39,132.675,127671.0
2021-03-15 12:15:00,132.55,132.59,132.4,132.4018,111284.0
2021-03-15 12:00:00,132.24,132.58,132.17,132.55,119033.0
2021-03-15 11:45:00,132.22,132.3,132.125,132.24,117953.0
2021-03-15 11:30:00,132.44,132.555,132.21,132.24,170246.0
2021-03-15 11:15:00,132.61,132.64,132.3901,132.45,163193.0
2021-03-15 11:00:00,132.44,132.68,132.32,132.61,153058.0
2021-03-15 10:45:00,132.37,132.56,131.97,132.41,177982.0
2021-03-15 10:30:00,132.62,132.66,132.26,132.39,206593.0
2021-03-15 10:15:00,132.93,133.05,132.55,132.64,256254.0
2021-03-15 10:00:00,133.42,133.43,132.83,132.94,255020.0
2021-03-15 09:45:00,133.56,133.63,132.82,133.43,357643.0
2021-03-15 09:30:00,133.38,133.45,133.38,133.45,2308.0
2021-03-15 08:00:00,133.01,133.01,133.01,133.01,393.0
2021-03-15 07:45:00,133.23,133.23,133.15,133.15,893.0
2021-03-15 07:30:00,133.3,133.3,133.3,133.3,395.0
2021-03-15 07:15:00,133.7,133.7,133.7,133.7,100.0
2021-03-12 17:15:00,133.0138,133.0138,133.0138,133.0138,101.0
2021-03-12 17:00:00,133.0316,133.0316,133.0316,133.0316,100.0
2021-03-12 16:30:00,133.04,133.04,133.04,133.04,774.0
2021-03-12 16:15:00,133.04,133.04,133.04,133.04,259976.0
2021-03-12 16:00:00,133.23,133.25,132.91,133.02,439264.0
2021-03-12 15:45:00,133.07,133.25,132.85,133.23,222376.0
2021-03-12 15:30:00,132.94,133.1,132.92,133.08,133432.0
2021-03-12 15:15:00,133.19,133.24,132.78,132.94,172164.0
2021-03-12 15:00:00,133.22,133.29,133.17,133.18,89506.0
2021-03-12 14:45:00,133.32,133.39,133.11,133.23,116231.0
2021-03-12 14:30:00,133.61,133.63,133.33,133.34,81399.0
2021-03-12 14:15:00,133.67,133.72,133.365,133.63,230257.0
2021-03-12 14:00:00,133.61,133.79,133.61,133.68,80536.0
2021-03-12 13:45:00,133.36,133.6198,133.33,133.6,143860.0
2021-03-12 13:30:00,133.43,133.47,133.28,133.37,127905.0
2021-03-12 13:15:00,133.16,133.43,133.097,133.43,84565.0
2021-03-12 13:00:00,133.24,133.28,133.13,133.18,71886.0
2021-03-12 12:45:00,133.05,133.34,133.03,133.25,88874.0
2021-03-12 12:30:00,133.05,133.26,133.02,133.05,232535.0
2021-03-12 12:15:00,133.07,133.07,132.9,133.04,116165.0
2021-03-12 12:00:00,132.815,133.105,132.815,133.07,105049.0
