date,1. open,2. high,3. low,4. close,5. volume
2021-03-19 17:45:00,175.98,175.98,175.98,175.98,1590.0
2021-03-19 17:00:00,175.17,175.17,175.17,175.17,118.0
2021-03-19 16:15:00,175.98,175.98,175.73,175.73,527506.0
2021-03-19 16:00:00,176.54,176.84,175.4,175.98,742172.0
2021-03-19 15:45:00,176.08,176.59,175.76,176.56,138369.0
2021-03-19 15:30:00,176.05,176.29,175.65,176.0807,88897.0
2021-03-19 15:15:00,177.19,177.24,176.0,176.06,77288.0
2021-03-19 15:00:00,177.17,177.24,176.84,177.19,75768.0
2021-03-19 14:45:00,177.44,177.48,177.1,177.12,66784.0
2021-03-19 14:30:00,177.65,177.66,176.8,177.2633,57648.0
2021-03-19 14:15:00,177.88,178.0499,177.27,177.68,64134.0
2021-03-19 14:00:00,177.635,178.02,177.57,177.86,113930.0
2021-03-19 13:45:00,177.67,177.825,177.43,177.66,76888.0
2021-03-19 13:30:00,177.52,177.6833,177.4,177.65,58070.0
2021-03-19 13:15:00,177.84,177.9,176.96,177.553,73476.0
2021-03-19 13:00:00,177.4,177.9,177.4,177.81,84771.0
2021-03-19 12:45:00,177.28,177.605,177.2,177.37,133658.0
2021-03-19 12:30:00,177.06,177.42,177.0,177.3,92677.0
2021-03-19 12:15:00,176.74,177.34,176.69,177.06,101494.0
2021-03-19 12:00:00,176.22,176.8,176.02,176.68,102144.0
2021-03-19 11:45:00,175.25,176.29,175.12,176.1,88053.0
2021-03-19 11:30:00,175.525,175.78,174.54,175.26,85521.0
2021-03-19 11:15:00,175.365,175.85,175.07,175.5586,76528.0
2021-03-19 11:00:00,174.84,175.34,174.55,175.25,69125.0
2021-03-19 10:45:00,174.52,174.89,173.39,174.86,136410.0
2021-03-19 10:30:00,173.5,174.8,173.33,174.6168,82206.0
2021-03-19 10:15:00,174.06,174.06,172.45,173.58,119848.0
2021-03-19 10:00:00,173.27,175.045,173.04,174.15,93316.0
2021-03-19 09:45:00,175.69,176.17,173.03,173.33,810085.0
2021-03-19 09:30:00,176.39,176.63,175.41,175.42,14333.0
2021-03-19 09:15:00,174.75,174.75,174.36,174.75,2068.0
2021-03-18 17:45:00,174.38,174.38,174.38,174.38,400.0
2021-03-18 16:45:00,174.71,174.71,174.71,174.71,300.0
2021-03-18 16:30:00,175.41,175.48,174.36,174.36,4225.0
2021-03-18 16:15:00,174.36,174.36,174.36,174.36,85815.0
2021-03-18 16:00:00,175.08,175.17,174.24,174.29,682713.0
2021-03-18 15:45:00,175.65,175.75,174.88,175.04,179868.0
2021-03-18 15:30:00,175.62,175.65,175.05,175.65,116773.0
2021-03-18 15:15:00,175.55,175.96,175.0439,175.69,148005.0
2021-03-18 15:00:00,175.665,176.11,175.58,175.6,107387.0
2021-03-18 14:45:00,176.78,176.81,175.52,175.625,178168.0
2021-03-18 14:30:00,177.53,177.53,176.68,176.73,58124.0
2021-03-18 14:15:00,178.11,178.12,177.39,177.56,57545.0
2021-03-18 14:00:00,177.9,178.24,177.77,178.12,46854.0
2021-03-18 13:45:00,177.69,177.97,177.47,177.84,40190.0
2021-03-18 13:30:00,177.24,177.726,177.15,177.66,39338.0
2021-03-18 13:15:00,176.81,177.47,176.75,177.26,75210.0
2021-03-18 13:00:00,178.29,178.34,176.7414,176.8696,115485.0
2021-03-18 12:45:00,179.39,179.57,178.23,178.32,75461.0
